,0,1,2,3,4
0009406fd7479715e4bef61dd91f2462,0.08523845672607422,0.09051735699176788,0.6514304876327515,0.08666738122701645,0.0861462876200676
000b8f95fcb9e0096488278317764d19,0.05797763913869858,0.05633337236940861,0.060151126235723495,0.7684797644615173,0.0570580642670393
000d9be29b5207b54e86aa1b1ac54872,0.7207511067390442,0.06992634385824203,0.07151862978935242,0.06868673861026764,0.06911719590425491
0011c512eb256aa0dbbb544d8dffcf6e,0.10325146466493607,0.10131781548261642,0.5927066802978516,0.10041144490242004,0.1023125946521759
001795ec6f1b187d37335e1c4704762e,0.43472835049033165,0.1042655585333705,0.06383614335209131,0.3334104046225548,0.06375956162810326
001b237c0e9bb435f2e54071129237e9,0.7223105430603027,0.0690833330154419,0.06864956021308899,0.06982030719518661,0.07013621181249619
001b72dfd63e9833e8c02742adf472e3,0.29506427329033613,0.19302530027925968,0.09762802394106984,0.19157163379713893,0.22271075658500195
001c5d71ac6ad696d22315953758fa04,0.06599331647157669,0.06559182703495026,0.06686939299106598,0.3013503849506378,0.5001950860023499
00210e41887c2a8ef9f791ebc780cc36,0.41553986445069313,0.3617033828049898,0.07405811734497547,0.07390724122524261,0.07479139603674412
002159fe700ed3521f46cfcf6e941c76,0.26499316096305847,0.07746545970439911,0.23469418194144964,0.3459644680842757,0.07688271999359131
00250175f79f584c14ab5cecd80553cd,0.25498253107070923,0.1932621176044146,0.282354104022185,0.08955398201942444,0.17984727521737418
002c6dab60557c48cfd6c2222ef7fd76,0.6764436960220337,0.0547754243016243,0.05463559180498123,0.16008710861206055,0.05405820533633232
0030e635639c898b323826589761cf23,0.5976794362068176,0.10000834614038467,0.10227717459201813,0.10000904649496078,0.10002601891756058
003128f981470c3e5a2e7445e4a771cd,0.1012381836771965,0.5936727523803711,0.10180314630270004,0.10115844011306763,0.10212747007608414
0036bb031e69d915cd384d1b3838b5d3,0.07580239325761795,0.07555344700813293,0.07669681310653687,0.07550090551376343,0.696446418762207
003c0b8f6580c850bd2e32044d2ac307,0.06779143959283829,0.06780970469117165,0.06791746988892555,0.728669136762619,0.0678122416138649
004154251837f6ac124ad4374b3a8148,0.04532623291015625,0.04426969215273857,0.04416414350271225,0.8206368684768677,0.04560307040810585
0043c62d00db47eff6a6bc4cf6bfaeda,0.44452378153800964,0.08479838073253632,0.08474761992692947,0.3011571764945984,0.08477309346199036
0043d1a25ef08fb6f41b8fa6f91742ab,0.05850933864712715,0.058503832668066025,0.0583600178360939,0.7665045261383057,0.05812230706214905
0044d70d4e53450c0fbb8255446a797b,0.07503413408994675,0.07427795976400375,0.0742022767663002,0.07551756501197815,0.7009680271148682
004636c889c7c3dad6631f136b7fa082,0.0851622074842453,0.08621333539485931,0.08783658593893051,0.6549602150917053,0.08582765609025955
005030ef108f58b46b78116f754d8d38,0.23106034100055695,0.22895369492471218,0.22364006005227566,0.07730402424931526,0.23904183693230152
